source_id,sample_id,clock_domain,time_s,sensor_id,sensor_kind,x,y,z,channel,value,uncertainty,track_id,frame,centroid_x,centroid_y,centroid_z,area,sequence_id,parent_track_id,start_frame,end_frame,license,citation_key,dataset_name,doi
ctc_sample_v21,t001_f000,ctc_sequence_01,0.000000,track_001,ctc_centroid,27.0000,34.4000,0.0,cell_centroid_position,1.0,0.05,1,0,27.0000,34.4000,0.0,48,01,0,0,7,demo_sample_not_real_ctc,none_demo,ctc_sample_v21,none_demo
ctc_sample_v21,t001_f001,ctc_sequence_01,1.000000,track_001,ctc_centroid,27.7500,35.3300,0.0,cell_centroid_position,1.0,0.05,1,1,27.7500,35.3300,0.0,49,01,0,0,7,demo_sample_not_real_ctc,none_demo,ctc_sample_v21,none_demo
ctc_sample_v21,t001_f002,ctc_sequence_01,2.000000,track_001,ctc_centroid,28.5000,36.2600,0.0,cell_centroid_position,1.0,0.05,1,2,28.5000,36.2600,0.0,50,01,0,0,7,demo_sample_not_real_ctc,none_demo,ctc_sample_v21,none_demo
ctc_sample_v21,t001_f003,ctc_sequence_01,3.000000,track_001,ctc_centroid,29.2500,35.3900,0.0,cell_centroid_position,1.0,0.05,1,3,29.2500,35.3900,0.0,51,01,0,0,7,demo_sample_not_real_ctc,none_demo,ctc_sample_v21,none_demo
ctc_sample_v21,t001_f004,ctc_sequence_01,4.000000,track_001,ctc_centroid,30.0000,36.3200,0.0,cell_centroid_position,1.0,0.05,1,4,30.0000,36.3200,0.0,48,01,0,0,7,demo_sample_not_real_ctc,none_demo,ctc_sample_v21,none_demo
ctc_sample_v21,t001_f005,ctc_sequence_01,5.000000,track_001,ctc_centroid,30.7500,37.2500,0.0,cell_centroid_position,1.0,0.05,1,5,30.7500,37.2500,0.0,49,01,0,0,7,demo_sample_not_real_ctc,none_demo,ctc_sample_v21,none_demo
ctc_sample_v21,t001_f006,ctc_sequence_01,6.000000,track_001,ctc_centroid,31.5000,36.3800,0.0,cell_centroid_position,1.0,0.05,1,6,31.5000,36.3800,0.0,50,01,0,0,7,demo_sample_not_real_ctc,none_demo,ctc_sample_v21,none_demo
ctc_sample_v21,t001_f007,ctc_sequence_01,7.000000,track_001,ctc_centroid,32.2500,37.3100,0.0,cell_centroid_position,1.0,0.05,1,7,32.2500,37.3100,0.0,51,01,0,0,7,demo_sample_not_real_ctc,none_demo,ctc_sample_v21,none_demo
ctc_sample_v21,t002_f000,ctc_sequence_01,0.000000,track_002,ctc_centroid,34.0000,39.4000,0.0,cell_centroid_position,1.0,0.05,2,0,34.0000,39.4000,0.0,51,01,0,0,7,demo_sample_not_real_ctc,none_demo,ctc_sample_v21,none_demo
ctc_sample_v21,t002_f001,ctc_sequence_01,1.000000,track_002,ctc_centroid,34.8000,40.3600,0.0,cell_centroid_position,1.0,0.05,2,1,34.8000,40.3600,0.0,52,01,0,0,7,demo_sample_not_real_ctc,none_demo,ctc_sample_v21,none_demo
ctc_sample_v21,t002_f002,ctc_sequence_01,2.000000,track_002,ctc_centroid,35.6000,41.3200,0.0,cell_centroid_position,1.0,0.05,2,2,35.6000,41.3200,0.0,53,01,0,0,7,demo_sample_not_real_ctc,none_demo,ctc_sample_v21,none_demo
ctc_sample_v21,t002_f003,ctc_sequence_01,3.000000,track_002,ctc_centroid,36.4000,40.4800,0.0,cell_centroid_position,1.0,0.05,2,3,36.4000,40.4800,0.0,54,01,0,0,7,demo_sample_not_real_ctc,none_demo,ctc_sample_v21,none_demo
ctc_sample_v21,t002_f004,ctc_sequence_01,4.000000,track_002,ctc_centroid,37.2000,41.4400,0.0,cell_centroid_position,1.0,0.05,2,4,37.2000,41.4400,0.0,51,01,0,0,7,demo_sample_not_real_ctc,none_demo,ctc_sample_v21,none_demo
ctc_sample_v21,t002_f005,ctc_sequence_01,5.000000,track_002,ctc_centroid,38.0000,42.4000,0.0,cell_centroid_position,1.0,0.05,2,5,38.0000,42.4000,0.0,52,01,0,0,7,demo_sample_not_real_ctc,none_demo,ctc_sample_v21,none_demo
ctc_sample_v21,t002_f006,ctc_sequence_01,6.000000,track_002,ctc_centroid,38.8000,41.5600,0.0,cell_centroid_position,1.0,0.05,2,6,38.8000,41.5600,0.0,53,01,0,0,7,demo_sample_not_real_ctc,none_demo,ctc_sample_v21,none_demo
ctc_sample_v21,t002_f007,ctc_sequence_01,7.000000,track_002,ctc_centroid,39.6000,42.5200,0.0,cell_centroid_position,1.0,0.05,2,7,39.6000,42.5200,0.0,54,01,0,0,7,demo_sample_not_real_ctc,none_demo,ctc_sample_v21,none_demo
ctc_sample_v21,t003_f000,ctc_sequence_01,0.000000,track_003,ctc_centroid,41.0000,44.4000,0.0,cell_centroid_position,1.0,0.05,3,0,41.0000,44.4000,0.0,54,01,0,0,7,demo_sample_not_real_ctc,none_demo,ctc_sample_v21,none_demo
ctc_sample_v21,t003_f001,ctc_sequence_01,1.000000,track_003,ctc_centroid,41.8500,45.3900,0.0,cell_centroid_position,1.0,0.05,3,1,41.8500,45.3900,0.0,55,01,0,0,7,demo_sample_not_real_ctc,none_demo,ctc_sample_v21,none_demo
ctc_sample_v21,t003_f002,ctc_sequence_01,2.000000,track_003,ctc_centroid,42.7000,46.3800,0.0,cell_centroid_position,1.0,0.05,3,2,42.7000,46.3800,0.0,56,01,0,0,7,demo_sample_not_real_ctc,none_demo,ctc_sample_v21,none_demo
ctc_sample_v21,t003_f003,ctc_sequence_01,3.000000,track_003,ctc_centroid,43.5500,45.5700,0.0,cell_centroid_position,1.0,0.05,3,3,43.5500,45.5700,0.0,57,01,0,0,7,demo_sample_not_real_ctc,none_demo,ctc_sample_v21,none_demo
ctc_sample_v21,t003_f004,ctc_sequence_01,4.000000,track_003,ctc_centroid,44.4000,46.5600,0.0,cell_centroid_position,1.0,0.05,3,4,44.4000,46.5600,0.0,54,01,0,0,7,demo_sample_not_real_ctc,none_demo,ctc_sample_v21,none_demo
ctc_sample_v21,t003_f005,ctc_sequence_01,5.000000,track_003,ctc_centroid,45.2500,47.5500,0.0,cell_centroid_position,1.0,0.05,3,5,45.2500,47.5500,0.0,55,01,0,0,7,demo_sample_not_real_ctc,none_demo,ctc_sample_v21,none_demo
ctc_sample_v21,t003_f006,ctc_sequence_01,6.000000,track_003,ctc_centroid,46.1000,46.7400,0.0,cell_centroid_position,1.0,0.05,3,6,46.1000,46.7400,0.0,56,01,0,0,7,demo_sample_not_real_ctc,none_demo,ctc_sample_v21,none_demo
ctc_sample_v21,t003_f007,ctc_sequence_01,7.000000,track_003,ctc_centroid,46.9500,47.7300,0.0,cell_centroid_position,1.0,0.05,3,7,46.9500,47.7300,0.0,57,01,0,0,7,demo_sample_not_real_ctc,none_demo,ctc_sample_v21,none_demo
