source_id,sample_id,clock_domain,time_s,sensor_id,sensor_kind,x,y,z,channel,value,uncertainty,track_id,frame,centroid_x,centroid_y,centroid_z,area,sequence_id,license,citation_key,dataset_name,doi,parent_track_id,start_frame,end_frame,source_zip_sha256
ctc_fluo_n2dh_gowt1_real_zip_v24,Fluo-N2DH-GOWT1_01_t000_track1,ctc_frame,0.000000,Fluo-N2DH-GOWT1_01,ctc_tracking_centroid,78.302675,203.313702,0.000000,cell_centroid_motion,4262.000000,0.000000,01_1,0,78.302675,203.313702,0.000000,4262,01,CC-BY-4.0,ctc_fluo_n2dh_gowt1_zenodo_15608211,Fluo-N2DH-GOWT1,10.5281/zenodo.15608211,0,0,91,1a7bd9a7d1d10c4122c7782427b437246fb69cc3322a975485c04e206f64fc2c
ctc_fluo_n2dh_gowt1_real_zip_v24,Fluo-N2DH-GOWT1_01_t000_track2,ctc_frame,0.000000,Fluo-N2DH-GOWT1_01,ctc_tracking_centroid,194.000000,105.000000,0.000000,cell_centroid_motion,2617.000000,0.000000,01_2,0,194.000000,105.000000,0.000000,2617,01,CC-BY-4.0,ctc_fluo_n2dh_gowt1_zenodo_15608211,Fluo-N2DH-GOWT1,10.5281/zenodo.15608211,0,0,91,1a7bd9a7d1d10c4122c7782427b437246fb69cc3322a975485c04e206f64fc2c
ctc_fluo_n2dh_gowt1_real_zip_v24,Fluo-N2DH-GOWT1_01_t000_track3,ctc_frame,0.000000,Fluo-N2DH-GOWT1_01,ctc_tracking_centroid,572.000000,38.000000,0.000000,cell_centroid_motion,1941.000000,0.000000,01_3,0,572.000000,38.000000,0.000000,1941,01,CC-BY-4.0,ctc_fluo_n2dh_gowt1_zenodo_15608211,Fluo-N2DH-GOWT1,10.5281/zenodo.15608211,0,0,91,1a7bd9a7d1d10c4122c7782427b437246fb69cc3322a975485c04e206f64fc2c
ctc_fluo_n2dh_gowt1_real_zip_v24,Fluo-N2DH-GOWT1_01_t000_track4,ctc_frame,0.000000,Fluo-N2DH-GOWT1_01,ctc_tracking_centroid,829.000000,185.000000,0.000000,cell_centroid_motion,1789.000000,0.000000,01_4,0,829.000000,185.000000,0.000000,1789,01,CC-BY-4.0,ctc_fluo_n2dh_gowt1_zenodo_15608211,Fluo-N2DH-GOWT1,10.5281/zenodo.15608211,0,0,91,1a7bd9a7d1d10c4122c7782427b437246fb69cc3322a975485c04e206f64fc2c
ctc_fluo_n2dh_gowt1_real_zip_v24,Fluo-N2DH-GOWT1_01_t000_track5,ctc_frame,0.000000,Fluo-N2DH-GOWT1_01,ctc_tracking_centroid,396.000000,311.000000,0.000000,cell_centroid_motion,1649.000000,0.000000,01_5,0,396.000000,311.000000,0.000000,1649,01,CC-BY-4.0,ctc_fluo_n2dh_gowt1_zenodo_15608211,Fluo-N2DH-GOWT1,10.5281/zenodo.15608211,0,0,91,1a7bd9a7d1d10c4122c7782427b437246fb69cc3322a975485c04e206f64fc2c
ctc_fluo_n2dh_gowt1_real_zip_v24,Fluo-N2DH-GOWT1_01_t000_track6,ctc_frame,0.000000,Fluo-N2DH-GOWT1_01,ctc_tracking_centroid,500.000000,332.000000,0.000000,cell_centroid_motion,1649.000000,0.000000,01_6,0,500.000000,332.000000,0.000000,1649,01,CC-BY-4.0,ctc_fluo_n2dh_gowt1_zenodo_15608211,Fluo-N2DH-GOWT1,10.5281/zenodo.15608211,0,0,91,1a7bd9a7d1d10c4122c7782427b437246fb69cc3322a975485c04e206f64fc2c
ctc_fluo_n2dh_gowt1_real_zip_v24,Fluo-N2DH-GOWT1_01_t000_track8,ctc_frame,0.000000,Fluo-N2DH-GOWT1_01,ctc_tracking_centroid,891.878629,711.346502,0.000000,cell_centroid_motion,2101.000000,0.000000,01_8,0,891.878629,711.346502,0.000000,2101,01,CC-BY-4.0,ctc_fluo_n2dh_gowt1_zenodo_15608211,Fluo-N2DH-GOWT1,10.5281/zenodo.15608211,0,0,51,1a7bd9a7d1d10c4122c7782427b437246fb69cc3322a975485c04e206f64fc2c
ctc_fluo_n2dh_gowt1_real_zip_v24,Fluo-N2DH-GOWT1_01_t000_track9,ctc_frame,0.000000,Fluo-N2DH-GOWT1_01,ctc_tracking_centroid,862.265271,764.638743,0.000000,cell_centroid_motion,2292.000000,0.000000,01_9,0,862.265271,764.638743,0.000000,2292,01,CC-BY-4.0,ctc_fluo_n2dh_gowt1_zenodo_15608211,Fluo-N2DH-GOWT1,10.5281/zenodo.15608211,0,0,51,1a7bd9a7d1d10c4122c7782427b437246fb69cc3322a975485c04e206f64fc2c
ctc_fluo_n2dh_gowt1_real_zip_v24,Fluo-N2DH-GOWT1_01_t000_track10,ctc_frame,0.000000,Fluo-N2DH-GOWT1_01,ctc_tracking_centroid,707.000000,816.000000,0.000000,cell_centroid_motion,1125.000000,0.000000,01_10,0,707.000000,816.000000,0.000000,1125,01,CC-BY-4.0,ctc_fluo_n2dh_gowt1_zenodo_15608211,Fluo-N2DH-GOWT1,10.5281/zenodo.15608211,0,0,46,1a7bd9a7d1d10c4122c7782427b437246fb69cc3322a975485c04e206f64fc2c
ctc_fluo_n2dh_gowt1_real_zip_v24,Fluo-N2DH-GOWT1_01_t000_track15,ctc_frame,0.000000,Fluo-N2DH-GOWT1_01,ctc_tracking_centroid,723.000000,914.000000,0.000000,cell_centroid_motion,1941.000000,0.000000,01_15,0,723.000000,914.000000,0.000000,1941,01,CC-BY-4.0,ctc_fluo_n2dh_gowt1_zenodo_15608211,Fluo-N2DH-GOWT1,10.5281/zenodo.15608211,0,0,91,1a7bd9a7d1d10c4122c7782427b437246fb69cc3322a975485c04e206f64fc2c
ctc_fluo_n2dh_gowt1_real_zip_v24,Fluo-N2DH-GOWT1_01_t000_track16,ctc_frame,0.000000,Fluo-N2DH-GOWT1_01,ctc_tracking_centroid,435.500000,452.000000,0.000000,cell_centroid_motion,1836.000000,0.000000,01_16,0,435.500000,452.000000,0.000000,1836,01,CC-BY-4.0,ctc_fluo_n2dh_gowt1_zenodo_15608211,Fluo-N2DH-GOWT1,10.5281/zenodo.15608211,0,0,16,1a7bd9a7d1d10c4122c7782427b437246fb69cc3322a975485c04e206f64fc2c
ctc_fluo_n2dh_gowt1_real_zip_v24,Fluo-N2DH-GOWT1_01_t000_track23,ctc_frame,0.000000,Fluo-N2DH-GOWT1_01,ctc_tracking_centroid,148.000000,417.000000,0.000000,cell_centroid_motion,2449.000000,0.000000,01_23,0,148.000000,417.000000,0.000000,2449,01,CC-BY-4.0,ctc_fluo_n2dh_gowt1_zenodo_15608211,Fluo-N2DH-GOWT1,10.5281/zenodo.15608211,0,0,77,1a7bd9a7d1d10c4122c7782427b437246fb69cc3322a975485c04e206f64fc2c
ctc_fluo_n2dh_gowt1_real_zip_v24,Fluo-N2DH-GOWT1_01_t000_track24,ctc_frame,0.000000,Fluo-N2DH-GOWT1_01,ctc_tracking_centroid,238.631068,467.464742,0.000000,cell_centroid_motion,3914.000000,0.000000,01_24,0,238.631068,467.464742,0.000000,3914,01,CC-BY-4.0,ctc_fluo_n2dh_gowt1_zenodo_15608211,Fluo-N2DH-GOWT1,10.5281/zenodo.15608211,0,0,91,1a7bd9a7d1d10c4122c7782427b437246fb69cc3322a975485c04e206f64fc2c
ctc_fluo_n2dh_gowt1_real_zip_v24,Fluo-N2DH-GOWT1_01_t000_track25,ctc_frame,0.000000,Fluo-N2DH-GOWT1_01,ctc_tracking_centroid,323.000000,531.000000,0.000000,cell_centroid_motion,1513.000000,0.000000,01_25,0,323.000000,531.000000,0.000000,1513,01,CC-BY-4.0,ctc_fluo_n2dh_gowt1_zenodo_15608211,Fluo-N2DH-GOWT1,10.5281/zenodo.15608211,0,0,91,1a7bd9a7d1d10c4122c7782427b437246fb69cc3322a975485c04e206f64fc2c
ctc_fluo_n2dh_gowt1_real_zip_v24,Fluo-N2DH-GOWT1_01_t000_track26,ctc_frame,0.000000,Fluo-N2DH-GOWT1_01,ctc_tracking_centroid,434.000000,542.000000,0.000000,cell_centroid_motion,1649.000000,0.000000,01_26,0,434.000000,542.000000,0.000000,1649,01,CC-BY-4.0,ctc_fluo_n2dh_gowt1_zenodo_15608211,Fluo-N2DH-GOWT1,10.5281/zenodo.15608211,0,0,91,1a7bd9a7d1d10c4122c7782427b437246fb69cc3322a975485c04e206f64fc2c
ctc_fluo_n2dh_gowt1_real_zip_v24,Fluo-N2DH-GOWT1_01_t000_track27,ctc_frame,0.000000,Fluo-N2DH-GOWT1_01,ctc_tracking_centroid,517.000000,538.000000,0.000000,cell_centroid_motion,1369.000000,0.000000,01_27,0,517.000000,538.000000,0.000000,1369,01,CC-BY-4.0,ctc_fluo_n2dh_gowt1_zenodo_15608211,Fluo-N2DH-GOWT1,10.5281/zenodo.15608211,0,0,91,1a7bd9a7d1d10c4122c7782427b437246fb69cc3322a975485c04e206f64fc2c
ctc_fluo_n2dh_gowt1_real_zip_v24,Fluo-N2DH-GOWT1_01_t000_track28,ctc_frame,0.000000,Fluo-N2DH-GOWT1_01,ctc_tracking_centroid,639.000000,584.000000,0.000000,cell_centroid_motion,1941.000000,0.000000,01_28,0,639.000000,584.000000,0.000000,1941,01,CC-BY-4.0,ctc_fluo_n2dh_gowt1_zenodo_15608211,Fluo-N2DH-GOWT1,10.5281/zenodo.15608211,0,0,91,1a7bd9a7d1d10c4122c7782427b437246fb69cc3322a975485c04e206f64fc2c
ctc_fluo_n2dh_gowt1_real_zip_v24,Fluo-N2DH-GOWT1_01_t000_track29,ctc_frame,0.000000,Fluo-N2DH-GOWT1_01,ctc_tracking_centroid,676.000000,502.000000,0.000000,cell_centroid_motion,1789.000000,0.000000,01_29,0,676.000000,502.000000,0.000000,1789,01,CC-BY-4.0,ctc_fluo_n2dh_gowt1_zenodo_15608211,Fluo-N2DH-GOWT1,10.5281/zenodo.15608211,0,0,91,1a7bd9a7d1d10c4122c7782427b437246fb69cc3322a975485c04e206f64fc2c
ctc_fluo_n2dh_gowt1_real_zip_v24,Fluo-N2DH-GOWT1_01_t000_track30,ctc_frame,0.000000,Fluo-N2DH-GOWT1_01,ctc_tracking_centroid,509.665678,607.855448,0.000000,cell_centroid_motion,1349.000000,0.000000,01_30,0,509.665678,607.855448,0.000000,1349,01,CC-BY-4.0,ctc_fluo_n2dh_gowt1_zenodo_15608211,Fluo-N2DH-GOWT1,10.5281/zenodo.15608211,0,0,91,1a7bd9a7d1d10c4122c7782427b437246fb69cc3322a975485c04e206f64fc2c
ctc_fluo_n2dh_gowt1_real_zip_v24,Fluo-N2DH-GOWT1_01_t000_track31,ctc_frame,0.000000,Fluo-N2DH-GOWT1_01,ctc_tracking_centroid,345.734681,594.691176,0.000000,cell_centroid_motion,1632.000000,0.000000,01_31,0,345.734681,594.691176,0.000000,1632,01,CC-BY-4.0,ctc_fluo_n2dh_gowt1_zenodo_15608211,Fluo-N2DH-GOWT1,10.5281/zenodo.15608211,0,0,91,1a7bd9a7d1d10c4122c7782427b437246fb69cc3322a975485c04e206f64fc2c
