clock_n,time_s,sensor_id,sensor_kind,x,y,z,force_x,force_y,force_z,optical_intensity,acoustic_pressure,phase,uncertainty
0,0.0,vestibular_like_north,fixture_multimodal_probe,5.6,0.0,0.4,0.52,0.0,0.0,0.6362964198080278,-0.21456413989011344,0.0,0.025
0,0.0,vestibular_like_east,fixture_multimodal_probe,0.0,5.6,0.2,0.5607079809718059,0.37727231633244385,0.023840319695407345,0.7734062609097122,0.003799936666983336,0.5922711052177775,0.031
0,0.0,vestibular_like_south,fixture_multimodal_probe,-5.6,0.0,-0.2,0.25470398936882976,0.6279213165332641,0.04673020107703806,0.7787690683873263,0.22079336100417593,1.1854455800049946,0.037000000000000005
0,0.0,vestibular_like_west,fixture_multimodal_probe,0.0,-5.6,0.1,-0.11237593797963187,0.5075989565185324,0.06775709680740426,0.6771684529896794,0.35814574473404504,1.7886694543873367,0.025
0,0.0,shear_band_upper,fixture_multimodal_probe,3.4,3.4,1.1,-0.2605122319120036,0.22440119487095844,0.08608273090794273,0.5212822919142108,0.3663135385379303,2.4305263263012065,0.031
0,0.0,shear_band_lower,fixture_multimodal_probe,-3.4,-3.4,-1.0,-0.31102514467298575,0.0068368594679545855,0.10097651817694758,0.3579435798252112,0.24235058681111152,3.119614499328877,0.037000000000000005
0,0.0,acoustic_pressure_probe,fixture_multimodal_probe,2.2,-4.1,0.0,-0.37390571104919884,-0.25708388853294684,0.11184469031606717,0.21988600191742924,0.030970817668902265,-2.539262245349094,0.025
0,0.0,optical_gradient_probe,fixture_multimodal_probe,-2.2,4.1,0.0,-0.24302554221933667,-0.5983937349744215,0.11825396759861523,0.13800951012665058,-0.19158024818437225,-1.9565758398947934,0.031
1,0.01,vestibular_like_north,fixture_multimodal_probe,5.6,0.0,0.4,0.4284977382778655,0.3567231031311152,0.058581269625948895,0.8150351547617768,0.12569930117531852,0.6942445290173023,0.029
1,0.01,vestibular_like_east,fixture_multimodal_probe,0.0,5.6,0.2,0.1850399501254835,0.6521526193736695,0.07822005252258439,0.8225889591886577,0.33361912370693436,1.29432550400202,0.035
