source_id,sample_id,clock_domain,time_s,sensor_id,sensor_kind,x,y,z,channel,value,uncertainty,track_id,frame,centroid_x,centroid_y,centroid_z,area,sequence_id,license,citation_key,dataset_name,doi,parent_track_id,start_frame,end_frame
ctc_phc-c2dh-u373_v1,PhC-C2DH-U373_01_t000_track1,ctc_frame,0.000000,PhC-C2DH-U373_01,ctc_tracking_centroid,78.000000,111.000000,0.000000,cell_centroid_motion,249.000000,0.000000,01_1,0,78.000000,111.000000,0.000000,249,01,CC-BY-4.0,ctc_phc_c2dh_u373,PhC-C2DH-U373,,0,0,114
ctc_phc-c2dh-u373_v1,PhC-C2DH-U373_01_t000_track2,ctc_frame,0.000000,PhC-C2DH-U373_01,ctc_tracking_centroid,167.000000,68.000000,0.000000,cell_centroid_motion,193.000000,0.000000,01_2,0,167.000000,68.000000,0.000000,193,01,CC-BY-4.0,ctc_phc_c2dh_u373,PhC-C2DH-U373,,0,0,114
ctc_phc-c2dh-u373_v1,PhC-C2DH-U373_01_t000_track3,ctc_frame,0.000000,PhC-C2DH-U373_01,ctc_tracking_centroid,267.000000,173.000000,0.000000,cell_centroid_motion,145.000000,0.000000,01_3,0,267.000000,173.000000,0.000000,145,01,CC-BY-4.0,ctc_phc_c2dh_u373,PhC-C2DH-U373,,0,0,114
ctc_phc-c2dh-u373_v1,PhC-C2DH-U373_01_t000_track4,ctc_frame,0.000000,PhC-C2DH-U373_01,ctc_tracking_centroid,365.000000,359.000000,0.000000,cell_centroid_motion,145.000000,0.000000,01_4,0,365.000000,359.000000,0.000000,145,01,CC-BY-4.0,ctc_phc_c2dh_u373,PhC-C2DH-U373,,0,0,114
ctc_phc-c2dh-u373_v1,PhC-C2DH-U373_01_t000_track5,ctc_frame,0.000000,PhC-C2DH-U373_01,ctc_tracking_centroid,255.000000,424.000000,0.000000,cell_centroid_motion,171.000000,0.000000,01_5,0,255.000000,424.000000,0.000000,171,01,CC-BY-4.0,ctc_phc_c2dh_u373,PhC-C2DH-U373,,0,0,114
ctc_phc-c2dh-u373_v1,PhC-C2DH-U373_01_t000_track6,ctc_frame,0.000000,PhC-C2DH-U373_01,ctc_tracking_centroid,519.000000,337.000000,0.000000,cell_centroid_motion,145.000000,0.000000,01_6,0,519.000000,337.000000,0.000000,145,01,CC-BY-4.0,ctc_phc_c2dh_u373,PhC-C2DH-U373,,0,0,114
ctc_phc-c2dh-u373_v1,PhC-C2DH-U373_01_t001_track1,ctc_frame,1.000000,PhC-C2DH-U373_01,ctc_tracking_centroid,77.000000,103.000000,0.000000,cell_centroid_motion,249.000000,0.000000,01_1,1,77.000000,103.000000,0.000000,249,01,CC-BY-4.0,ctc_phc_c2dh_u373,PhC-C2DH-U373,,0,0,114
ctc_phc-c2dh-u373_v1,PhC-C2DH-U373_01_t001_track2,ctc_frame,1.000000,PhC-C2DH-U373_01,ctc_tracking_centroid,173.000000,71.000000,0.000000,cell_centroid_motion,193.000000,0.000000,01_2,1,173.000000,71.000000,0.000000,193,01,CC-BY-4.0,ctc_phc_c2dh_u373,PhC-C2DH-U373,,0,0,114
ctc_phc-c2dh-u373_v1,PhC-C2DH-U373_01_t001_track3,ctc_frame,1.000000,PhC-C2DH-U373_01,ctc_tracking_centroid,272.000000,169.000000,0.000000,cell_centroid_motion,145.000000,0.000000,01_3,1,272.000000,169.000000,0.000000,145,01,CC-BY-4.0,ctc_phc_c2dh_u373,PhC-C2DH-U373,,0,0,114
ctc_phc-c2dh-u373_v1,PhC-C2DH-U373_01_t001_track4,ctc_frame,1.000000,PhC-C2DH-U373_01,ctc_tracking_centroid,365.380952,368.619048,0.000000,cell_centroid_motion,168.000000,0.000000,01_4,1,365.380952,368.619048,0.000000,168,01,CC-BY-4.0,ctc_phc_c2dh_u373,PhC-C2DH-U373,,0,0,114
ctc_phc-c2dh-u373_v1,PhC-C2DH-U373_01_t001_track5,ctc_frame,1.000000,PhC-C2DH-U373_01,ctc_tracking_centroid,246.000000,428.000000,0.000000,cell_centroid_motion,145.000000,0.000000,01_5,1,246.000000,428.000000,0.000000,145,01,CC-BY-4.0,ctc_phc_c2dh_u373,PhC-C2DH-U373,,0,0,114
ctc_phc-c2dh-u373_v1,PhC-C2DH-U373_01_t001_track6,ctc_frame,1.000000,PhC-C2DH-U373_01,ctc_tracking_centroid,519.000000,332.000000,0.000000,cell_centroid_motion,145.000000,0.000000,01_6,1,519.000000,332.000000,0.000000,145,01,CC-BY-4.0,ctc_phc_c2dh_u373,PhC-C2DH-U373,,0,0,114
ctc_phc-c2dh-u373_v1,PhC-C2DH-U373_01_t002_track1,ctc_frame,2.000000,PhC-C2DH-U373_01,ctc_tracking_centroid,74.000000,103.000000,0.000000,cell_centroid_motion,249.000000,0.000000,01_1,2,74.000000,103.000000,0.000000,249,01,CC-BY-4.0,ctc_phc_c2dh_u373,PhC-C2DH-U373,,0,0,114
ctc_phc-c2dh-u373_v1,PhC-C2DH-U373_01_t002_track2,ctc_frame,2.000000,PhC-C2DH-U373_01,ctc_tracking_centroid,173.000000,71.000000,0.000000,cell_centroid_motion,193.000000,0.000000,01_2,2,173.000000,71.000000,0.000000,193,01,CC-BY-4.0,ctc_phc_c2dh_u373,PhC-C2DH-U373,,0,0,114
ctc_phc-c2dh-u373_v1,PhC-C2DH-U373_01_t002_track3,ctc_frame,2.000000,PhC-C2DH-U373_01,ctc_tracking_centroid,272.000000,169.000000,0.000000,cell_centroid_motion,145.000000,0.000000,01_3,2,272.000000,169.000000,0.000000,145,01,CC-BY-4.0,ctc_phc_c2dh_u373,PhC-C2DH-U373,,0,0,114
ctc_phc-c2dh-u373_v1,PhC-C2DH-U373_01_t002_track4,ctc_frame,2.000000,PhC-C2DH-U373_01,ctc_tracking_centroid,367.000000,370.500000,0.000000,cell_centroid_motion,158.000000,0.000000,01_4,2,367.000000,370.500000,0.000000,158,01,CC-BY-4.0,ctc_phc_c2dh_u373,PhC-C2DH-U373,,0,0,114
ctc_phc-c2dh-u373_v1,PhC-C2DH-U373_01_t002_track5,ctc_frame,2.000000,PhC-C2DH-U373_01,ctc_tracking_centroid,245.500000,428.000000,0.000000,cell_centroid_motion,158.000000,0.000000,01_5,2,245.500000,428.000000,0.000000,158,01,CC-BY-4.0,ctc_phc_c2dh_u373,PhC-C2DH-U373,,0,0,114
ctc_phc-c2dh-u373_v1,PhC-C2DH-U373_01_t002_track6,ctc_frame,2.000000,PhC-C2DH-U373_01,ctc_tracking_centroid,519.000000,331.000000,0.000000,cell_centroid_motion,145.000000,0.000000,01_6,2,519.000000,331.000000,0.000000,145,01,CC-BY-4.0,ctc_phc_c2dh_u373,PhC-C2DH-U373,,0,0,114
ctc_phc-c2dh-u373_v1,PhC-C2DH-U373_01_t003_track1,ctc_frame,3.000000,PhC-C2DH-U373_01,ctc_tracking_centroid,69.000000,100.000000,0.000000,cell_centroid_motion,249.000000,0.000000,01_1,3,69.000000,100.000000,0.000000,249,01,CC-BY-4.0,ctc_phc_c2dh_u373,PhC-C2DH-U373,,0,0,114
